clip	ending0	ending1	ending2	ending3	ending4	label
video8854	a bald man with a beard talks on tv to a lady news reporter	two people are eating food	a young man in a tshirt discusses how to overclock your processor while standing by a computer screen	a woman is talking	a young man in a tshirt discusses how to overclock your processor while sitting at a computer screen	4
video8855	a rabbit falls off a wall	children on a school bus sing the wheels on the bus	a news anchor discussing a story	a news anchor covers a story	a woman in a blue sweater talking about how long it s going to take to make a dish	2
video7057	a group of people are playing mario party	a girl is scared of a mob and falls	women compete at a wrestling match	a video of people watching the news	a girl is scared of a mob and hides	1
video7504	a man discusses the best technology stocks to buy	a man in a dark colored shirt mixing ground beef in a white bowl with his hands	a person is holding a toy egg	a person is decorating a toy egg	clip show actor giving a monologue wherein he compliments his own work and imagines accepting his oscar	2
video7507	a person   dancing in the kitchen	an object is plying the air	a person  cooking in the kitchen	an entertainment reporter talks about different men in the entertainment industry	someone is playing with a rubix cube	2
video7054	introducing the promoation of the new mobile application and their demonistration	a girl is singing in a video	footage of someone playing minecraft	a girl is watching a video	food on a plate and being cut on a cutting board	3
video7053	a demonically dressed person walks through a cave and carresses the face of a young crying woman	a man and a lion cuddling	women washing hands and wiping then with a white cloth	a guy climbs up a wall in a video game	a man and a lion fighting	1
video7052	a man seeing the mirror to him crying	guy talking to camera	a man seeing the mirror to him face	a girl is shooting foam darts at a target	a woman is frying dough	2
video7050	a man is singing while lying down	a woman demonstrates how to fold up a stroller	a woman demonstrates how to open a stroller	snow white dances while some dwarfs play instruments and clap in a gray walled room with a tan floor	a group of people with ties and in vests are singing and dancing	1
video7509	photos of wild liama in green field is playing	a man doing a back flip off the roof of a house and other guys jumping off fences	girls sing in unison	girls walking in unison	someone cooking something in a hot pan with oil	3
video7508	two children laugh at something	people are dancing and singing	shots of nature then information about visiting japan	shots of nature then information about shopping in japan	an animated character fell down a set of stairs	2
video7059	there is a bird inside the kitchen and laughing	the intro to world news focus on africa plays and we are greeted by the bbc reporter based in johannesburg south africa	a man is crying on the shoulder of another man in a green shirt while hugging him tightly	there is a bird inside the kitchen and watching	a man is showing a simulation of opening a glove compartment in a car from the drivers seat	3
